,code,filmo,movie_code,average_audience
12030,10006219,아수라,20153443,2432
12010,20126135,슬랩스틱 브라더스,20124094,0
12185,20260626,우주의 크리스마스,20162242,0
12107,20173625,와와의 학교 가는 날,20138783,0
12099,20168260,가족시네마,20121421,206617
12046,20140360,아수라,20153443,0
12252,20186250,가려진 시간,20154905,0
12026,20127192,아수라,20153443,3046644
12155,10039587,무한대를 본 남자,20161165,0
12101,10060279,가족시네마,20121421,4747
12086,10089079,비바,20164171,6225
12169,10005839,가족시네마,20121421,1464911
12137,10064638,로스트 인 더스트,20161527,269887
12116,20233027,스플릿,20163521,0
12120,20165496,스플릿,20163521,0
12183,20259975,우주의 크리스마스,20162242,0
12132,10079272,귀담백경,20160097,179
12075,20259273,럭키,20153444,0
12247,20245409,가려진 시간,20154905,0
12057,10079272,귀담백경,20160097,179
12006,20224411,예전부터 계속 좋아했어 ~고백실행위원회~,20168684,6026
12050,10042623,귀담백경,20160097,0
12014,20181388,복숭아나무,20124917,0
12071,10061532,럭키,20153444,595929
12201,10062184,내가 살인범이다,20124075,1728183
12005,10086792,예전부터 계속 좋아했어 ~고백실행위원회~,20168684,150131
12013,10007527,복숭아나무,20124917,879804
12053,20126110,나우이즈굿,20120362,39944
12154,10080715,무한대를 본 남자,20161165,33418
12115,20227408,스플릿,20163521,0
12074,20258654,럭키,20153444,0
12228,10072934,내가 살인범이다,20124075,1085
12146,20115551,바스티유 데이,20168501,716386
12004,10073746,예전부터 계속 좋아했어 ~고백실행위원회~,20168684,19265
12147,10085448,바스티유 데이,20168501,129768
12012,10019043,복숭아나무,20124917,406124
12193,20113591,가족시네마,20121421,13457
12145,10055199,바스티유 데이,20168501,1173886
12176,10090114,가족시네마,20121421,1026
12041,20195029,아수라,20153443,0
12063,10003107,위풍당당 질리 홉킨스,20168842,170724
12034,20257283,아수라,20153443,0
12044,20148293,아수라,20153443,0
12033,10054493,아수라,20153443,799544
12274,10047357,미씽: 사라진 여자,20153741,1440296
12061,20171321,위풍당당 질리 홉킨스,20168842,8007
12092,10079272,귀담백경,20160097,179
12141,10067925,어카운턴트,20160203,681072
12059,20178521,귀담백경,20160097,10
12009,10034577,슬랩스틱 브라더스,20124094,0
12015,20135712,복숭아나무,20124917,0
12134,20178521,귀담백경,20160097,10
12206,20179371,내가 살인범이다,20124075,0
12246,20245389,가려진 시간,20154905,0
12094,20178521,귀담백경,20160097,10
12110,10085169,우리친구 피들스틱스,20159524,1107
12143,10078469,미스터 나이스,20124126,8628
12195,10028517,가족시네마,20121421,958961
12045,20221527,아수라,20153443,0
12144,20193079,물숨,20162969,0
12095,10062134,가족시네마,20121421,624737
12109,10031212,우리친구 피들스틱스,20159524,6034
12076,20260672,럭키,20153444,0
12082,20283251,밀림의 왕자 레오2,20120942,12514
12090,10063935,업사이드 다운,20120562,0
12011,10066380,복숭아나무,20124917,1891847
12161,10027383,세상에서 고양이가 사라진다면,20162147,57604
12194,10090114,가족시네마,20121421,1026
12042,20139048,아수라,20153443,0
12084,10008060,"무현, 두 도시 이야기",20162545,1854787
12114,10061861,스플릿,20163521,180953
12098,10055362,가족시네마,20121421,1199
12068,20112212,럭키,20153444,261698
12214,20161617,내가 살인범이다,20124075,0
12207,20179373,내가 살인범이다,20124075,0
12023,10062025,아수라,20153443,1480539
12054,10073877,나우이즈굿,20120362,1726137
12127,10050104,외사경찰,20120465,63752
12123,20157402,스플릿,20163521,0
12079,20203667,럭키,20153444,0
12007,10038082,예전부터 계속 좋아했어 ~고백실행위원회~,20168684,0
12216,20150887,내가 살인범이다,20124075,0
12175,20113591,가족시네마,20121421,13457
12039,20152252,아수라,20153443,0
12121,10065901,스플릿,20163521,5241
12060,20216808,플라워 쇼,20155750,0
12142,10019716,미스터 나이스,20124126,3624
12179,10005820,우주의 크리스마스,20162242,635171
12036,20258694,아수라,20153443,0
12055,10051238,나우이즈굿,20120362,4692
12028,20189746,아수라,20153443,476665
12200,10034707,기억메신저 2033,20167210,0
12131,10009972,귀담백경,20160097,20802
12122,20132262,스플릿,20163521,0
12248,20111842,가려진 시간,20154905,4415
12081,20283250,밀림의 왕자 레오2,20120942,0
12178,20100597,가족시네마,20121421,145912
12152,10011098,무한대를 본 남자,20161165,543035
12190,20168260,가족시네마,20121421,206617
12047,20149869,아수라,20153443,0
12149,10076016,바스티유 데이,20168501,15997
12192,10060279,가족시네마,20121421,4747
12215,20125249,내가 살인범이다,20124075,23333
12217,20132408,내가 살인범이다,20124075,0
12069,10066791,럭키,20153444,975856
12073,20203049,럭키,20153444,0
12097,10035745,가족시네마,20121421,2211407
12139,10042927,어카운턴트,20160203,169113
12188,10035745,가족시네마,20121421,2211407
12083,20246969,"무현, 두 도시 이야기",20162545,0
12113,10055073,스플릿,20163521,1465793
12031,10054532,아수라,20153443,332613
12168,10062134,가족시네마,20121421,624737
12064,20128871,위풍당당 질리 홉킨스,20168842,1975727
12048,10009972,귀담백경,20160097,20802
12181,20244589,우주의 크리스마스,20162242,0
12209,20110564,내가 살인범이다,20124075,0
12138,10031156,어카운턴트,20160203,463346
12070,20248432,럭키,20153444,0
12065,10069434,위풍당당 질리 홉킨스,20168842,739712
12080,20279329,럭키,20153444,0
12166,10042623,귀담백경,20160097,0
12067,10054128,럭키,20153444,3289541
12111,10054008,스플릿,20163521,783285
12264,10037628,어바웃 레이,20162109,108255
12025,10069179,아수라,20153443,806353
12118,20154551,스플릿,20163521,0
12038,20259100,아수라,20153443,0
12072,20186095,럭키,20153444,3557749
12124,10051422,외사경찰,20120465,175535
12164,10009972,귀담백경,20160097,20802
12100,10072210,가족시네마,20121421,3106
12056,10009972,귀담백경,20160097,20802
12151,20243107,바다의 뚜껑,20163251,0
12196,20100597,가족시네마,20121421,145912
12062,10075010,위풍당당 질리 홉킨스,20168842,108494
12199,10013941,기억메신저 2033,20167210,130
12103,10090114,가족시네마,20121421,1026
12105,20100597,가족시네마,20121421,145912
12148,10065953,바스티유 데이,20168501,3226
12172,20168260,가족시네마,20121421,206617
12108,20173626,와와의 학교 가는 날,20138783,0
12167,20178521,귀담백경,20160097,10
12160,10056089,세상에서 고양이가 사라진다면,20162147,3653
12001,10016593,피터와 드래곤,20160143,321213
12087,20127250,비바,20164171,0
12184,20199091,우주의 크리스마스,20162242,0
12017,10018884,아이 엠 어 히어로,20169122,11133
12136,10031197,로스트 인 더스트,20161527,361360
12066,10033576,위풍당당 질리 홉킨스,20168842,0
12051,20178521,귀담백경,20160097,10
12156,10062925,무한대를 본 남자,20161165,49014
12018,10006649,아이 엠 어 히어로,20169122,540140
12208,10002334,내가 살인범이다,20124075,0
12106,10061565,와와의 학교 가는 날,20138783,0
12077,20261569,럭키,20153444,0
12126,10024539,외사경찰,20120465,45610
12040,20186413,아수라,20153443,0
12130,10056349,외사경찰,20120465,0
12133,10042623,귀담백경,20160097,0
12102,20113591,가족시네마,20121421,13457
12204,10004995,내가 살인범이다,20124075,493144
12205,20143510,내가 살인범이다,20124075,0
12035,10060067,아수라,20153443,0
12058,10042623,귀담백경,20160097,0
12117,20265670,스플릿,20163521,0
12135,10077251,로스트 인 더스트,20161527,833218
12089,10070946,업사이드 다운,20120562,113613
12021,20243931,할머니의 먼 집,20158359,0
12032,20216086,아수라,20153443,0
12008,10080765,예전부터 계속 좋아했어 ~고백실행위원회~,20168684,2329
12203,10072552,내가 살인범이다,20124075,1816
12180,10088422,우주의 크리스마스,20162242,421428
12150,20243106,바다의 뚜껑,20163251,0
12270,10081482,위스키 탱고 폭스트롯,20168747,0
12078,20263439,럭키,20153444,0
12091,10009972,귀담백경,20160097,20802
12052,10009990,나우이즈굿,20120362,555054
12269,20198347,혼자,20155387,0
12096,10005839,가족시네마,20121421,1464911
12174,10060279,가족시네마,20121421,4747
12165,10079272,귀담백경,20160097,179
12128,10078970,외사경찰,20120465,0
12157,10075447,무한대를 본 남자,20161165,0
12153,10062976,무한대를 본 남자,20161165,274495
12043,20181069,아수라,20153443,0
12158,10049095,무한대를 본 남자,20161165,0
12085,10069882,비바,20164171,0
12186,10062134,가족시네마,20121421,624737
12140,10091423,어카운턴트,20160203,1407204
12093,10042623,귀담백경,20160097,0
12125,10003507,외사경찰,20120465,832615
12173,10072210,가족시네마,20121421,3106
12119,20265974,스플릿,20163521,0
12177,10028517,가족시네마,20121421,958961
12267,10037154,혼자,20155387,722
12191,10072210,가족시네마,20121421,3106
12182,10040877,우주의 크리스마스,20162242,26133
12295,20154069,터치,20125446,0
12256,10021341,두 남자,20160472,1829304
12284,10072399,순종,20161603,41452
12189,10055362,가족시네마,20121421,1199
12210,20142155,내가 살인범이다,20124075,0
12211,20140109,내가 살인범이다,20124075,0
12232,20123922,비지터,20081818,0
12240,20246409,"제자도 - 제자,옥한흠2",20161694,50274
12281,20270734,미씽: 사라진 여자,20153741,0
12266,20217606,혼자,20155387,0
12283,10072075,순종,20161603,1043779
12227,20190646,내가 살인범이다,20124075,1413
12224,20154036,내가 살인범이다,20124075,0
12238,20267831,야근 대신 뜨개질,20154428,0
12285,20246330,순종,20161603,0
12299,20181632,터치,20125446,0
12249,20112032,가려진 시간,20154905,2943
12292,20179935,터치,20125446,0
12262,10049256,어바웃 레이,20162109,229119
12242,20217766,가려진 시간,20154905,2287
12293,20180191,터치,20125446,0
12218,10056832,내가 살인범이다,20124075,0
12233,20123923,비지터,20081818,7483
12235,20120001,하이큐!! 끝과 시작,20162629,632
12279,10005142,미씽: 사라진 여자,20153741,0
12298,20133750,터치,20125446,0
12277,20180042,미씽: 사라진 여자,20153741,0
12239,10002465,"제자도 - 제자,옥한흠2",20161694,511439
12223,20153078,내가 살인범이다,20124075,0
12236,10055281,하이큐!! 끝과 시작,20162629,326032
12259,20199046,두 남자,20160472,0
12268,20179003,혼자,20155387,0
12163,10086762,세상에서 고양이가 사라진다면,20162147,6979
