,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
66,브로큰,영국,판씨네마(주),319469,618906,청소년관람불가,드라마,2013-07-18,16,312,2013-07-25,2065
67,에어라인 플라이트,미국,(유)조이앤컨텐츠그룹,187849,0,15세이상관람가,스릴러|액션,2013-07-18,2,180,2013-07-25,1870
68,우리는 그곳에 있었다,한국,(주)씨타마운틴픽쳐스,3618076,0,전체관람가,다큐멘터리|어드벤처,2013-07-18,5,105,2013-07-25,1061
69,테르마이 로마이,일본,브릿지웍스 엔터테인먼트(주),411513,59684,15세이상관람가,코미디|판타지,2013-07-18,7,136,2013-07-25,2488
70,토니 스토리: 깡통제국의 비밀,독일,(주)영화사 빅,0,0,전체관람가,애니메이션,2013-07-18,188,6502,2013-07-25,61511
71,영춘권 무림 절대 고수,중국,(주)소나무픽쳐스,3449,0,15세이상관람가,액션|코미디,2013-07-19,5,527,2013-07-26,3179
72,극장판 마법소녀 마도카 마기카(전편): 시작의 이야기,일본,(주)미디어데이,48885,0,12세이상관람가,애니메이션|판타지,2013-07-20,8,856,2013-07-27,3197
73,극장판 마법소녀 마도카 마기카(후편): 영원의 이야기,일본,(주)미디어데이,1719001,0,12세이상관람가,애니메이션|판타지,2013-07-20,8,849,2013-07-27,3199
74,신검전설,중국,(주)수키픽쳐스,343877,0,15세이상관람가,액션,2013-07-24,8,400,2013-07-31,1100
75,그랑블루 리마스터링 감독판,프랑스,(주)팝파트너스,0,137942,15세이상관람가,멜로/로맨스|드라마,2013-07-25,33,793,2013-08-01,9615
76,극장판 도라에몽: 진구의 비밀도구 박물관,일본,롯데쇼핑㈜롯데엔터테인먼트,2784,452751,전체관람가,애니메이션|어드벤처,2013-07-25,225,8445,2013-08-01,95532
77,더 울버린,미국,이십세기폭스코리아(주),552,1557515,15세이상관람가|15세이상관람가,액션|SF,2013-07-25,694,138359,2013-08-01,976763
78,더 트랩: 난간 끝에 선 남자,미국,스크린조이,64006,0,청소년관람불가,스릴러|드라마,2013-07-25,2,180,2013-08-01,1780
79,저스티스,미국,(주)쇼박스,0,2423207,청소년관람불가,액션|드라마|스릴러,2012-03-15,138,4592,2012-03-22,40976
80,청춘그루브,한국,(주)두타연|(주)미디어데이,1372,1779682,15세이상관람가,드라마,2012-03-15,5,31,2012-03-22,828
81,크로니클,미국,이십세기폭스코리아(주),853465,616375,15세이상관람가,액션|스릴러,2012-03-15,297,31489,2012-03-22,295885
82,킬링 타임,한국,(주)데이드림서울,0,0,청소년관람불가,공포(호러),2012-03-15,1,31,2012-03-22,131
83,핑크,한국,(주)씨타마운틴픽쳐스,0,803920,청소년관람불가,드라마,2012-03-15,11,60,2012-03-22,626
84,홈 스위트 홈,한국,이미지팩토리,1209082,15740,청소년관람불가,드라마,2012-03-15,4,11,2012-03-22,190
85,링,한국,㈜인디스토리,0,0,12세이상관람가,다큐멘터리,2013-07-25,19,111,2013-08-01,1136
86,마지막 4중주,미국,(주)티캐스트,937888,1087408,15세이상관람가,드라마,2013-07-25,29,1672,2013-08-01,19638
87,스프링 브레이커스,미국,(주)누리픽쳐스,148402,1695742,청소년관람불가,코미디|드라마|범죄,2013-07-25,1,49,2013-08-01,357
88,콤플렉스,일본,미디어소프트,0,0,15세이상관람가,공포(호러),2013-07-25,3,92,2013-08-01,533
89,터보,미국,씨제이이앤엠(주),452,2344840,전체관람가|전체관람가,애니메이션,2013-07-25,456,63108,2013-08-01,1027696
90,페르소나,스웨덴,㈜영화사 백두대간,833,67030,청소년관람불가,드라마,2013-07-25,1,69,2013-08-01,621
91,더 테러 라이브,한국,롯데쇼핑㈜롯데엔터테인먼트,1136978,8382897,15세이상관람가,범죄|기타,2013-07-31,674,215832,2013-08-07,2552083
92,슈퍼히어로,페루,(주)영화사 빅,1136978,0,전체관람가,애니메이션|SF|어드벤처,2013-07-31,60,1329,2013-08-07,11037
93,스톨른,미국,(주)팝파트너스,0,1348534,청소년관람불가,액션|스릴러,2013-07-31,13,664,2013-08-07,1744
94,개구쟁이 스머프 2,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),11785,2417988,전체관람가|전체관람가,애니메이션|코미디|가족,2013-08-01,377,92058,2013-08-08,599781
95,설국열차,한국,씨제이이앤엠(주),1045768,10493276,15세이상관람가,SF|액션,2013-08-01,936,601029,2013-08-08,4853557
97,이고르와 학의 여행,이스라엘,㈜영화사 백두대간,305384,0,전체관람가,가족|어드벤처|드라마,2013-08-01,2,72,2013-08-08,711
98,컴플라이언스,미국,오드,305384,0,청소년관람불가,범죄|드라마|스릴러,2013-08-01,6,56,2013-08-08,739
99,플레이스 비욘드 더 파인즈,미국,(주)미디어데이,104,1105165,청소년관람불가,범죄|드라마,2013-08-01,30,756,2013-08-08,9874
100,권법 쿵푸의 신,홍콩,(주)소나무픽쳐스,80668,0,15세이상관람가,코미디|액션,2013-08-02,1,276,2013-08-09,1652
102,은밀하게 위대하게 (확장판),한국,(주)쇼박스,7743,14243353,15세이상관람가,액션|코미디|드라마,2013-08-05,1,166,2013-08-12,2846
103,명탐정 코난 : 수평선상의 음모,일본,씨제이이앤엠(주),399416,795146,12세이상관람가,애니메이션,2013-08-07,282,20161,2013-08-14,262813
105,나에게서 온 편지,프랑스,프리비젼엔터테인먼트,0,13688,12세이상관람가,코미디,2013-08-08,17,411,2013-08-15,4975
106,러브 인 코리아,한국,프리포트,3807,0,12세이상관람가,다큐멘터리,2013-08-08,3,6,2013-08-15,142
107,베이트,호주,(주)팝파트너스,251314,367823,15세이상관람가,공포(호러),2013-08-08,54,1864,2013-08-15,15934
108,죽지않아,한국,씨네굿,777,6835,청소년관람불가,스릴러|드라마,2013-08-08,9,150,2013-08-15,727
109,페이퍼보이: 사형수의 편지,미국,(주)퍼스트런,2457,1283065,청소년관람불가,스릴러,2013-08-08,11,319,2013-08-15,2499
110,페인리스,스페인,씨네그루(주)다우기술,0,1985,청소년관람불가,드라마|공포(호러),2013-08-08,25,733,2013-08-15,6416
111,"가자, 장미여관으로",한국,(주)팝파트너스,0,425,청소년관람불가,멜로/로맨스|드라마,2013-08-14,2,180,2013-08-21,7747
112,감기,한국,아이러브시네마,40321,12605032,15세이상관람가,드라마|어드벤처|액션,2013-08-14,671,304661,2013-08-21,2183334
113,더 팩트,미국,스크린조이,40321,40428,15세이상관람가,공포(호러)|미스터리,2013-08-14,4,260,2013-08-21,850
114,세상의 끝까지 21일,미국,(주)드림웨스트픽쳐스,510604,1119074,15세이상관람가,드라마|코미디|멜로/로맨스,2013-08-14,6,303,2013-08-21,9881
115,숨바꼭질,한국,(주)넥스트엔터테인먼트월드(NEW),713758,5819162,15세이상관람가,스릴러,2013-08-14,623,293917,2013-08-21,2820916
116,슈퍼윙스 3D,러시아,(주)영화사 빅,330,1185936,전체관람가,애니메이션|어드벤처|코미디,2013-08-14,128,4023,2013-08-21,37970
117,언어의 정원,일본,에이원엔터테인먼트|(주)팝엔터테인먼트,0,346279,12세이상관람가,애니메이션,2013-08-14,54,3792,2013-08-21,33668
118,"패션, 위험한 열정",독일,판씨네마(주),89906,1091254,청소년관람불가,스릴러,2013-08-14,18,377,2013-08-21,6888
119,퍼시픽 모비딕,미국,(주)케이알씨지,16116,5,15세이상관람가,스릴러|액션,2013-08-14,4,250,2013-08-21,3230
120,허풍,한국,골든타이드픽처스(주),27490,20578,청소년관람불가,코미디|판타지|멜로/로맨스,2013-08-14,3,106,2013-08-21,296
121,그리고 싶은 것,한국,(주)시네마달,84505,752516,전체관람가,다큐멘터리,2013-08-15,23,547,2013-08-22,2805
122,렛 미 아웃,한국,㈜영화사 백두대간,597956,22756,12세이상관람가,드라마|코미디,2013-08-15,10,135,2013-08-22,573
123,월하의 침략자,일본,(재)전주국제영화제조직위원회,41464,0,전체관람가,다큐멘터리,2013-08-15,1,21,2013-08-22,49
124,전쟁과 한 여자,일본,(주)엣나인필름,791,27832,청소년관람불가,드라마,2013-08-15,2,70,2013-08-22,509
125,가시꽃,한국,㈜인디스토리,222,0,청소년관람불가,드라마,2013-08-22,10,103,2013-08-29,1107
126,나우 유 씨 미 : 마술사기단,미국,롯데쇼핑㈜롯데엔터테인먼트,234533,5768997,12세이상관람가,범죄|액션|스릴러,2013-08-22,484,146606,2013-08-29,1529492
127,드리프트,호주,씨네그루(주)다우기술,0,0,15세이상관람가,드라마,2013-08-22,3,118,2013-08-29,1574
128,라 당스,프랑스,(주)영화사 진진,0,2177,전체관람가,다큐멘터리,2013-08-22,5,250,2013-08-29,2956
129,밀크 오브 소로우-슬픈 모유,스페인,㈜영화사 백두대간,2692591,0,15세이상관람가,드라마,2013-08-22,1,45,2013-08-29,349
130,방독피,한국,(주)두엔터테인먼트 ,4293,22135,청소년관람불가,미스터리|스릴러,2013-08-22,1,4,2013-08-29,494
131,브레이크 블레이드6: 결전의 시간,일본,(주)케이알씨지,0,5870,전체관람가,애니메이션,2013-08-22,1,10,2013-08-29,50
132,비바 프랑스,프랑스,(주)미디어데이,0,0,15세이상관람가,코미디,2013-08-22,6,578,2013-08-29,1772
133,일대종사,중국,CGV아트하우스,146362,1572367,12세이상관람가,액션|드라마,2013-08-22,190,8790,2013-08-29,71162
134,투 마더스,프랑스,(주)싸이더스,2327806,600751,청소년관람불가,드라마,2013-08-22,198,11201,2013-08-29,61872
135,폭스파이어,프랑스,그린나래미디어(주),2327806,0,15세이상관람가,드라마,2013-08-22,29,405,2013-08-29,6331
136,R.I.P.D. : 알.아이.피.디.,미국,유니버설픽쳐스인터내셔널 코리아(유),68027,1806758,15세이상관람가|15세이상관람가,액션|코미디|범죄,2013-08-22,260,13515,2013-08-29,98705
137,무사 4대 문파와의 혈투,홍콩,(주)소나무픽쳐스,0,0,15세이상관람가,액션|전쟁,2013-08-23,1,195,2013-08-30,1560
138,팬더와 친구들의 모험,일본,얼리버드,1,23339,전체관람가,애니메이션,2013-08-24,1,14,2013-08-31,36
139,관음 - 욕망의 유희,한국,(주)케이알씨지,1033287,0,청소년관람불가,멜로/로맨스|드라마,2013-08-29,1,10,2013-09-05,120
140,드래곤볼Z : 신들의 전쟁,일본,(주)인벤트스톤,0,0,전체관람가,애니메이션|액션|어드벤처|SF,2013-08-29,209,4821,2013-09-05,38455
141,북극의 후예 이누크,기타,(주)피터팬픽쳐스,0,0,12세이상관람가,어드벤처|드라마,2013-08-29,3,12,2013-09-05,190
142,불량경찰: 부정부패 소탕작전,스페인,(주)소나무픽쳐스,36766,0,청소년관람불가,액션,2013-08-29,1,192,2013-09-05,1365
143,가을 소나타,스웨덴,㈜영화사 백두대간,81090,96043,12세이상관람가,드라마,2012-03-22,1,44,2012-03-29,689
144,건축학개론,한국,롯데쇼핑㈜롯데엔터테인먼트,3033,11955021,12세이상관람가,멜로/로맨스|드라마,2012-03-22,549,66580,2012-03-29,1038262
145,달팽이의 별,한국,(주)영화사조아,0,0,전체관람가,다큐멘터리,2012-03-22,33,699,2012-03-29,7072
146,밀레니엄 : 제2부 불을 가지고 노는 소녀,스웨덴,팝엔터테인먼트,2177,334393,청소년관람불가,스릴러,2012-03-22,5,56,2012-03-29,1168
147,스페이스 독,러시아,예지림엔터테인먼트,0,0,전체관람가|전체관람가,애니메이션|코미디|가족,2012-03-22,56,232,2012-03-29,24659
148,언터처블: 1%의 우정,프랑스,(주)넥스트엔터테인먼트월드(NEW),275575,154740,12세이상관람가,코미디|드라마,2012-03-22,311,46216,2012-03-29,624606
149,콘트라밴드,미국,유니버설픽쳐스인터내셔널 코리아(유),6067,0,청소년관람불가,액션|스릴러,2012-03-22,173,6742,2012-03-29,49273
150,해로 (偕老),한국,(주)키노아이디엠씨,0,1561820,12세이상관람가,드라마,2012-03-22,18,208,2012-03-29,2430
151,삼총사2013,미국,(주)케이알씨지,0,0,청소년관람불가,스릴러|액션,2013-08-29,3,260,2013-09-05,4220
152,시크릿,미국,(주)미디어데이,12208,0,청소년관람불가,드라마|스릴러,2013-08-29,5,284,2013-09-05,1096
153,아티스트 봉만대,한국,씨너스엔터테인먼트(주),0,0,청소년관람불가,코미디,2013-08-29,131,1380,2013-09-05,13180
154,엘리시움,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2405731,1248731,청소년관람불가,SF|액션,2013-08-29,459,132038,2013-09-05,931052
155,우리들의 헤어진 여자친구,한국,골든타이드픽처스(주),0,0,청소년관람불가,멜로/로맨스|드라마,2013-08-29,4,141,2013-09-05,337
