,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
1704, 스테레오,20149587,맥시밀리언 엘렌와인,20189670,0,독일,2014-10-30,2014-10-30,1,4,2014-11-12,0
1680, 토카레브,20142854,파코 카베자스,20173213,12465,미국,2014-10-23,2014-10-23,20,908,2014-11-05,3375
1644, 황금시대,20141408,허안화,10088392,13195,중국,2014-10-16,2014-10-16,58,1754,2014-10-29,10892
1648, 스튜어디스 애처일기,20142026,칸바라 이쿠토,20187906,37,일본,2014-10-22,2014-10-22,1,50,2014-11-04,0
1650, 거룩한 소녀 마리아,20141521,디트리흐 브룽게만,10047270,0,독일,2014-10-23,2014-10-23,5,21,2014-11-05,826
1636, 청풍자,20142129,맥조휘|장문강,10025470|10060155,125168,홍콩,2014-10-16,2014-10-16,20,819,2014-10-29,1052
1649, 혼전 순결 여대생의 정사,20142027,칸바라 이쿠토,20187906,37,일본,2014-10-22,2014-10-22,1,50,2014-11-04,0
1715, 옆집 남편과의 밀애,20143384,칸바라 이쿠토,20187906,37,일본,2014-11-05,2014-11-05,1,54,2014-11-18,0
1641, 할리데이,20149397,맥스 기와|다니아 파스퀴니,20115394|10009249,84773,영국,2014-10-16,2014-10-16,147,1248,2014-10-29,12804
1706, 어덜트 월드,20142885,스콧 코페이,10038174,0,미국,2014-10-30,2014-10-30,1,50,2014-11-12,0
1674, 어웨이큰: 원혼의 부활 ,20142886,아르노 말라론|조이슬린 잉글,20194426|20194427,0,미국,2014-10-23,2014-10-23,1,50,2014-11-05,0
1684, 애프터 파티,20140443,미겔 라라야,10026903,0,스페인,2014-10-29,2014-10-29,2,118,2014-11-11,3951
1707, 올랜도 블룸의 위험한 열정,20143249,프랭크 E. 플라워스,10084811,0,미국,2014-10-30,2014-10-30,1,54,2014-11-12,0
1688, 와이 스톱 나우,20142881,필 도링|론 니스워너,10026016|10017944,0,미국,2014-10-29,2014-10-29,2,99,2014-11-11,3966
1712, 환상,20143250,이숭환,10056203,877,한국,2014-10-30,2014-10-30,19,754,2014-11-12,0
1716, 누구에게나 찬란한,20148627,임유철,10058719,39072,한국,2014-11-06,2014-11-06,42,369,2014-11-19,11203
1700, 반 고흐: 위대한 유산,20149016,핌 반 호브,10089272,0,네덜란드,2014-10-30,2014-10-30,34,501,2014-11-12,7666
1711, 투와이스 본,20147723,세르지오 카스텔리토,10036039,6237,이탈리아,2014-10-30,2014-10-30,30,570,2014-11-12,0
1678, 우리는 형제입니다,20148842,장진,10060535,849884,한국,2014-10-23,2014-10-23,517,62171,2014-11-05,872815
1713, 카니발,20149648,마누엘 마틴 쿠엔카,20189678,0,스페인,2014-11-03,2014-11-03,1,50,2014-11-16,0
1669, 금의위 : 14 검의 비밀,20126573,이인항,10057088,162670,홍콩,2012-06-14,2012-06-14,35,691,2012-06-27,8502
1703, 소리굽쇠,20123082,추상록,10072961,0,한국,2014-10-30,2014-10-30,45,229,2014-11-12,2862
1746, 에이리언 스카이라인,20143601,닐 존슨,20171628,88,미국,2014-11-13,2014-11-13,6,229,2014-11-26,0
1682, 아라벨라,20142501,크리스티안 틸레만,10068392,711,독일,2014-10-25,2014-10-25,6,52,2014-11-07,0
1666, 프로메테우스,20125086,리들리 스콧,10019469,774358,미국,2012-06-06,2012-06-06,521,177078,2012-06-19,840046
1685, 야쿠자-피의 전쟁,20143281,야마가 타카유키,20188271,83,일본,2014-10-29,2014-10-29,20,819,2014-11-11,0
1698, 리턴드,20142732,마누엘 카르발로,20120282,113,스페인,2014-10-30,2014-10-30,21,865,2014-11-12,1978
1695, 내가 잠들기 전에,20141961,로완 조페,10017542,0,영국,2014-10-30,2014-10-30,190,6705,2014-11-12,49801
1733, 힐링메이트,20143640,신종걸,20193749,0,한국,2014-11-12,2014-11-12,1,23,2014-11-25,0
1701, 본타: 땅콩왕국의 전설,20142844,레오 리,10015154,0,중국,2014-10-30,2014-10-30,57,287,2014-11-12,16634
1766, 괴테스쿨의 사고뭉치들,20149699,보라 닥테킨,10031474,0,독일,2014-11-20,2014-11-20,11,670,2014-12-03,1733
1747, 왓 이프,20142481,마이클 도즈,10022881,0,아일랜드,2014-11-13,2014-11-13,137,2694,2014-11-26,27525
1694, 나의 독재자,20148626,이해준,10058053,706430,한국,2014-10-30,2014-10-30,637,37015,2014-11-12,378635
1787, 모든 여자에게 거짓이 있다,20127492,호우 라충소|호라이 타다아키,20129650|20167863,0,일본,2012-06-20,2012-06-20,1,10,2012-07-03,0
1743, 백여우 전설,20143573,우조양,20198908,0,중국,2014-11-13,2014-11-13,6,229,2014-11-26,0
1709, 정사,20143101,김정환,20194127,0,한국,2014-10-30,2014-10-30,20,1057,2014-11-12,0
1721, 양키 아이돌,20143563,조조 히데오,10066963,89,일본,2014-11-06,2014-11-06,1,10,2014-11-19,0
1720, 신선조-혈풍,20143393,츠지 히로유키,10050127,265,일본,2014-11-06,2014-11-06,6,164,2014-11-19,244
1718, 박스트롤,20142301,그레이엄 애나블|안소니 스타치,10081282|10043454,0,미국,2014-11-06,2014-11-06,163,1326,2014-11-19,87504
1681, 혹스: 욕망의 법칙,20068824,라세 할스트롬,10013865,55116,미국,2014-10-23,2014-10-23,1,54,2014-11-05,0
1693, 깨끗하고 연약한,20149020,신조 타케히코,20112339,22608,일본,2014-10-30,2014-10-30,12,377,2014-11-12,2361
1686, 야한 부인의 유혹,20142025,한 헤이타로,20169652,33,독일,2014-10-29,2014-10-29,1,50,2014-11-11,0
1728, 레일웨이 맨,20142201,조나단 텝리츠키,10065443,35349,영국,2014-11-11,2014-11-11,1,1,2014-11-24,0
1742, 룸13,20143688,데이빗 그로빅,20198086,0,미국,2014-11-13,2014-11-13,6,104,2014-11-26,0
1794, 에이리언 스페이스,20143665,에멧 카리난,20197168,0,미국,2014-11-20,2014-11-20,4,214,2014-12-03,384
1767, 그 사람 그 사랑 그 세상,20143081,권혁만,20195495,94767,한국,2014-11-20,2014-11-20,46,1141,2014-12-03,13410
1748, 울브스,20142321,데이비드 헤이터,10011583,0,미국,2014-11-13,2014-11-13,291,7377,2014-11-26,43112
1762, 메가포스 군단,19828179,할 니담,10087826,142323,미국,2014-11-19,2014-11-19,1,5,2014-12-02,0
1797, 헝거게임: 모킹제이,20140402,프란시스 로렌스,10084230,1209778,미국,2014-11-20,2014-11-20,587,88152,2014-12-03,807694
1781, 사다코 3D : 죽음의 동영상,20125646,하나부사 츠토무,20127909,6709,일본,2012-06-14,2012-06-14,243,16432,2012-06-27,122299
1735, 거인,20141001,김태용,20191068,118621,한국,2014-11-13,2014-11-13,77,2044,2014-11-26,19942
1725, 패션왕,20147129,오기환,10050086,704892,한국,2014-11-06,2014-11-06,518,48348,2014-11-19,568175
1737, 달사람,20142628,스테판 셰쉬,10038815,0,프랑스,2014-11-13,2014-11-13,3,36,2014-11-26,828
1729, 관능소설-색의 절정,20143387,사카마키 료타,20199570,54,일본,2014-11-12,2014-11-12,1,54,2014-11-25,0
1745, 아더 우먼,20142023,닉 카사베츠,10008972,282410,미국,2014-11-13,2014-11-13,331,13185,2014-11-26,76593
1732, 폭렬성시,20143571,캘빈 통,10075106,24,홍콩,2014-11-12,2014-11-12,6,229,2014-11-25,0
1689, 원장이 오기전에-그놈의 협박,20142143,칸바라 이쿠토,20187906,37,일본,2014-10-29,2014-10-29,1,50,2014-11-11,0
1726, 현기증,20141609,이돈구,10055132,1643,한국,2014-11-06,2014-11-06,71,999,2014-11-19,8415
1785, 음란한 여교사의 알바,20127387,코우야 타다시,20166403,52,일본,2012-06-15,2012-06-15,1,75,2012-06-28,0
1734, 1000 : 최후의 전사들,20142799,아칸 사타예브,10034568,0,카자흐스탄,2014-11-12,2014-11-12,1,5,2014-11-25,0
1741, 레디액션 청춘,20148619,김진무|박가희|주성수|정원식,20114292|20188661|20141934|20188662,424258,한국,2014-11-13,2014-11-13,19,163,2014-11-26,2427
1770, 모던발레 채플린,20143564,소니아 파라모,10036595,0,독일,2014-11-20,2014-11-20,14,193,2014-12-03,583
1723, 인터스텔라,20149120,크리스토퍼 놀란,10077460,2643107,미국,2014-11-06,2014-11-06,"1,089",227025,2014-11-19,5440039
1757, 크레이브,20142883,찰스 데 라우지리카,10071359,0,미국,2014-11-18,2014-11-18,1,54,2014-12-01,0
1722, 원피스 : 에피소드 오브 나미 ~항해사의 눈물과 동료의 인연~,20143021,토코로 카츠미,10024370,3902,일본,2014-11-06,2014-11-06,24,72,2014-11-19,0
1724, 지옥화,20111911,이상우,20111446,572,한국,2014-11-06,2014-11-06,5,55,2014-11-19,531
1730, 다이노슈퍼게이터,20143570,짐 위노스키,10070972,2935,미국,2014-11-12,2014-11-12,6,229,2014-11-25,0
1783, 시작은 키스!,20126408,다비드 포앙키노스|스테판 포엔키노스,20128730|10038811,0,프랑스,2012-06-14,2012-06-14,29,935,2012-06-27,17287
1736, 넥스트 제네레이션 패트레이버4,20143590,오시이 마모루,10050553,9099,일본,2014-11-13,2014-11-13,2,56,2014-11-26,0
1731, 사랑에 빠지면 알게 되는 것들,20143385,린슈,20196668,0,일본,2014-11-12,2014-11-12,1,54,2014-11-25,0
1740, 레디액션 청춘,20148619,김진무|박가희|주성수|정원식,20114292|20188661|20141934|20188662,424258,한국,2014-11-13,2014-11-13,19,163,2014-11-26,2427
1744, 브룩클린스 파이니스트,20143661,안톤 후쿠아,10043970,372838,미국,2014-11-13,2014-11-13,1,1,2014-11-26,0
