,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day14_date,day14_audience
65,코리올라누스: 세기의 라이벌,영국,(주)팝파트너스,0,1473836,15세이상관람가,전쟁|드라마|스릴러,2013-07-11,3,319,2013-07-24,2245
66,버니,미국,(주)미디어데이,115978,2324585,15세이상관람가,코미디|범죄|드라마,2013-06-20,28,340,2013-07-03,7175
67,드래곤볼Z : 신들의 전쟁,일본,(주)인벤트스톤,0,0,전체관람가,애니메이션|액션|어드벤처|SF,2013-08-29,209,4821,2013-09-11,44066
68,슈퍼히어로,페루,(주)영화사 빅,22095,0,전체관람가,애니메이션|SF|어드벤처,2013-07-31,60,1329,2013-08-13,11469
69,마지막 4중주,미국,(주)티캐스트,0,1087408,15세이상관람가,드라마,2013-07-25,29,1672,2013-08-07,36381
70,모니카와의 여름 ,스웨덴,㈜영화사 백두대간,4015,0,청소년관람불가,드라마|멜로/로맨스,2013-07-04,1,22,2013-07-17,358
71,킬링 타임,한국,(주)데이드림서울,1,0,청소년관람불가,공포(호러),2012-03-15,1,31,2012-03-28,155
72,엽문4: 종극일전,홍콩,(주)소나무픽쳐스,8059,0,15세이상관람가,드라마|액션,2013-06-27,5,350,2013-07-10,2888
73,월하의 침략자,일본,(재)전주국제영화제조직위원회,0,0,전체관람가,다큐멘터리,2013-08-15,1,21,2013-08-28,78
74,테르마이 로마이,일본,브릿지웍스 엔터테인먼트(주),58329,59684,15세이상관람가,코미디|판타지,2013-07-18,7,136,2013-07-31,2850
75,"힘내세요, 병헌씨",한국,㈜인디스토리,3044134,0,15세이상관람가,코미디|드라마,2013-06-27,16,175,2013-07-10,2706
76,마이 백 페이지,일본,팝엔터테인먼트|(주)영화사조아,6504,158931,15세이상관람가,드라마,2012-03-15,7,124,2012-03-28,2049
77,토니 스토리: 깡통제국의 비밀,독일,(주)영화사 빅,5451,0,전체관람가,애니메이션,2013-07-18,188,6502,2013-07-31,66439
78,감시자들,한국,(주)넥스트엔터테인먼트월드(NEW),2515506,35488626,15세이상관람가,범죄|액션,2013-07-03,731,210052,2013-07-16,3785950
79,감시자들,한국,(주)넥스트엔터테인먼트월드(NEW),2515506,35488626,15세이상관람가,범죄|액션,2013-07-03,731,210052,2013-07-16,3785950
80,인 더 하우스,프랑스,찬란,9987,45440,15세이상관람가,스릴러|드라마,2013-07-04,25,767,2013-07-17,11726
81,밀레니엄 : 여자를 증오한 남자들,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,606131,1061670,청소년관람불가,스릴러|드라마,2012-01-11,195,11033,2012-01-24,384526
82,까밀 리와인드,프랑스,(주)엣나인필름,0,26417,15세이상관람가,드라마,2013-07-18,23,1078,2013-07-31,13882
83,사이드 이펙트,미국,롯데쇼핑㈜롯데엔터테인먼트,257342,1714300,청소년관람불가,스릴러|범죄|드라마,2013-07-11,165,4096,2013-07-24,37089
84,극장판 도라에몽: 진구의 비밀도구 박물관,일본,롯데쇼핑㈜롯데엔터테인먼트,227043,452751,전체관람가,애니메이션|어드벤처,2013-07-25,225,8445,2013-08-07,116768
85,스톨른,미국,(주)팝파트너스,319469,1348534,청소년관람불가,액션|스릴러,2013-07-31,13,664,2013-08-13,2440
86,넥스트 투모로우,미국,(주)케이알씨지,0,0,12세이상관람가,SF|액션,2013-07-11,3,180,2013-07-24,1380
