,actor_code,filmo,filmo_code,average_audience
13829,10023372,언더월드 4: 어웨이크닝,20124746,0
13861,20167960,남쪽으로 튀어,20125990,431
13942,20167601,더 자이언트,20123821,0
13850,10064310,헨리스 크라임,20134001,141105
13913,20124130,남자사용설명서,20126087,0
13895,10001415,여친남친,20123781,36392
13998,20167781,극장판: 타이거 앤 버니,20134789,0
13985,20147137,"1999, 면회",20120112,9157
13841,10057182,물고기,20119509,0
13875,20110924,남쪽으로 튀어,20125990,1914779
13868,20132408,남쪽으로 튀어,20125990,0
13866,20183813,남쪽으로 튀어,20125990,0
13931,10032109,실버라이닝 플레이북,20123484,432688
13909,20165700,남자사용설명서,20126087,97804
13888,10018667,블랑섹의 기이한모험,20135242,4365
13896,20165726,여친남친,20123781,0
13911,20183400,남자사용설명서,20126087,0
13883,10076552,다이하드: 굿 데이 투 다이,20123387,81630
13886,20115488,눈의 여왕,20123421,1083746
13870,20187990,남쪽으로 튀어,20125990,3253
13921,20183402,불륜의 시대,20111087,0
13885,10056134,눈의 여왕,20123421,488
13880,20166057,다이하드: 굿 데이 투 다이,20123387,1318706
13827,20126694,언더월드 4: 어웨이크닝,20124746,150517
13856,20168163,반달곰,20129332,0
13900,10056359,남자사용설명서,20126087,1277614
13901,20239426,남자사용설명서,20126087,0
13917,20183402,불륜의 시대,20111087,0
13830,10013224,빅 미라클,20124011,325074
13897,10060667,여친남친,20123781,2517
13941,20157233,더 자이언트,20123821,173493
13891,20113678,블랑섹의 기이한모험,20135242,14653
13922,20123713,불륜의 시대,20111087,0
13860,20142726,남쪽으로 튀어,20125990,0
13894,20166222,비스트,20133923,0
13847,20111993,물고기,20119509,0
13853,20113282,반달곰,20129332,4237
13812,20141614,하울링,20110249,0
13930,10062627,실버라이닝 플레이북,20123484,834296
13831,10077984,빅 미라클,20124011,2146544
13997,10090960,극장판: 타이거 앤 버니,20134789,181499
13869,10035536,남쪽으로 튀어,20125990,0
13923,10006581,비러브드,20134288,67435
13992,20183562,"1999, 면회",20120112,0
13929,20167161,비러브드,20134288,0
13884,10028667,눈의 여왕,20123421,1689519
13919,20126629,불륜의 시대,20111087,0
13867,10090257,남쪽으로 튀어,20125990,0
13915,10071193,남자사용설명서,20126087,0
13871,20175721,남쪽으로 튀어,20125990,382293
13873,20186095,남쪽으로 튀어,20125990,3557749
13811,20143061,하울링,20110249,0
13925,10078688,비러브드,20134288,2152
13939,20115530,극장판 나루토 질풍전: 로드 투 닌자,20134244,11221
13905,10056895,남자사용설명서,20126087,650513
13979,20175721,신세계,20124401,382293
13934,20066637,해양경찰 마르코,20123644,1901514
13823,20113125,레전드 오브 래빗,20113982,116301
13944,10057349,분노의 윤리학,20128747,1350918
13877,20152117,남쪽으로 튀어,20125990,564994
13918,20126631,불륜의 시대,20111087,0
13948,10026732,분노의 윤리학,20128747,896883
14015,10050734,뒷담화: 감독이 미쳤어요,20120106,744849
13924,10018378,비러브드,20134288,11429
13863,20163926,남쪽으로 튀어,20125990,0
13994,20239407,"1999, 면회",20120112,45701
13938,20112842,극장판 나루토 질풍전: 로드 투 닌자,20134244,51531
13927,10083689,비러브드,20134288,160
13902,10050734,남자사용설명서,20126087,708948
14011,10043631,누구의 딸도 아닌 해원,20121741,901356
14016,10004236,뒷담화: 감독이 미쳤어요,20120106,999544
13990,20141545,"1999, 면회",20120112,0
13972,20140752,신세계,20124401,0
13971,20143687,신세계,20124401,628508
14012,10054391,뒷담화: 감독이 미쳤어요,20120106,748695
13874,10006155,남쪽으로 튀어,20125990,37567
13945,10067353,분노의 윤리학,20128747,3250762
14069,10015525,오즈 그레이트 앤드 파워풀,20122625,383341
13832,10048502,움,20124167,657460
13983,10072645,신세계,20124401,124894
13937,10082423,헨젤과 그레텔: 마녀 사냥꾼 3D,20133981,664410
13978,20143806,신세계,20124401,364840
13914,20158771,남자사용설명서,20126087,0
13960,10057315,신세계,20124401,2339542
13991,20183364,"1999, 면회",20120112,0
13920,20182729,불륜의 시대,20111087,0
13966,10054755,신세계,20124401,669166
14004,10005383,누구의 딸도 아닌 해원,20121741,690469
13933,20111692,해양경찰 마르코,20123644,681813
13964,20066637,신세계,20124401,1614878
13981,20159610,신세계,20124401,0
13926,10018594,비러브드,20134288,7421
13932,10016564,실버라이닝 플레이북,20123484,200894
13857,10005276,남쪽으로 튀어,20125990,3011078
13988,20112542,"1999, 면회",20120112,0
13935,10062937,헨젤과 그레텔: 마녀 사냥꾼 3D,20133981,3503942
14000,20113533,누구의 딸도 아닌 해원,20121741,851155
13984,20153620,"1999, 면회",20120112,1489
13989,20182924,"1999, 면회",20120112,0
13876,10055086,남쪽으로 튀어,20125990,93151
14021,10072915,뒷담화: 감독이 미쳤어요,20120106,10444
13982,20133487,신세계,20124401,0
14009,20112298,누구의 딸도 아닌 해원,20121741,11082
13974,10088291,신세계,20124401,0
13967,10061610,신세계,20124401,0
13872,10013826,남쪽으로 튀어,20125990,965916
13961,10072251,신세계,20124401,2054142
14032,10008581,스토커,20120467,248784
14052,10003507,사이코메트리,20134407,797144
13970,20154345,신세계,20124401,0
14066,10053771,사이코메트리,20134407,2020050
13987,10003756,"1999, 면회",20120112,32964
13906,20136191,남자사용설명서,20126087,1134568
13859,20090447,남쪽으로 튀어,20125990,473721
13993,10006078,"1999, 면회",20120112,0
13912,10035869,남자사용설명서,20126087,0
13887,10060043,눈의 여왕,20123421,1320105
13862,20127194,남쪽으로 튀어,20125990,1676546
14013,10029595,뒷담화: 감독이 미쳤어요,20120106,882407
13968,20156220,신세계,20124401,0
13928,20167160,비러브드,20134288,282
13975,20112765,신세계,20124401,0
13936,10064955,헨젤과 그레텔: 마녀 사냥꾼 3D,20133981,1011970
13907,10005772,남자사용설명서,20126087,213577
13980,10060043,신세계,20124401,1254906
13910,20182890,남자사용설명서,20126087,0
13946,10006155,분노의 윤리학,20128747,14061
13908,10004210,남자사용설명서,20126087,0
14005,10053981,누구의 딸도 아닌 해원,20121741,733018
13977,20126611,신세계,20124401,0
13976,10040435,신세계,20124401,4719872
13916,20111370,불륜의 시대,20111087,20513
13904,10005617,남자사용설명서,20126087,1878556
14044,10012405,플라이트,20123603,206081
14064,20231806,사이코메트리,20134407,0
14083,20133493,키스,20112842,805
14001,10055970,누구의 딸도 아닌 해원,20121741,919168
14065,20067819,사이코메트리,20134407,12434
13973,10087711,신세계,20124401,0
14093,20169009,키스,20112842,0
14045,10013003,플라이트,20123603,2415191
14043,10038506,잭 더 자이언트 킬러,20123641,1353821
14077,20169002,키스,20112842,0
14049,10041598,가족의 나라,20128694,8465
13986,10043631,"1999, 면회",20120112,1125861
14014,10000955,뒷담화: 감독이 미쳤어요,20120106,1204037
14008,10063868,누구의 딸도 아닌 해원,20121741,141926
14075,10047595,제로 다크 서티,20129262,98124
14034,20120504,스토커,20120467,166
13965,10061967,신세계,20124401,1507255
14060,10035498,사이코메트리,20134407,0
13963,10028773,신세계,20124401,746229
14048,10012204,지킬 앤 하이드,20134161,74576
14029,20169165,수호지 바람의 영웅 - 금모견,20134023,0
14057,10028773,사이코메트리,20134407,763900
14033,10010595,스토커,20120467,138827
14020,10003801,뒷담화: 감독이 미쳤어요,20120106,25052
