,movieNm,movie_code,nations,distribution,rate,genre,director,actor,cast
99,청춘그루브,20116038,한국,(주)두타연|(주)미디어데이,15세이상관람가,드라마,변성현,봉태규|이영훈|곽지민|이재원|임효라|장민철|구본웅|조민식|한경탁|홍희연|이연수|이영민|박종근|변성현|신근철|라미란|이영란,명동인터뷰 여자3|의사2|구사장|창대회사 직원|레스토랑 사장|간호사2|명동인터뷰 여자2명동인터뷰 여자2|호준|믹싱기사|춥스|명동인터뷰 커플1|케이블PD|창대 엄마
100,개구쟁이 스머프 2,20136761,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가|전체관람가,애니메이션|코미디|가족,라자 고스넬,박명수|닐 패트릭 해리스|크리스티나 리치|알란 커밍|행크 아자리아|케이티 페리|제이마 메이스,
101,콩가네,20124031,한국,프리비젼엔터테인먼트,청소년관람불가,가족|코미디,남기웅,김병옥|윤다경|심은진|서효명|김동범|정완희|정재필|정희원|김동민|최종렬|김준영|박정혁|박형진|송동규|김병옥|기주봉,토요일|정육점 주인|악기점 앞 아줌마|병원환자|퍼즐노인|병원환자|자동차주인|카메라맨|교도관|장백호
102,더 웹툰: 예고살인,20129114,한국,씨제이이앤엠(주),15세이상관람가,공포(호러)|스릴러,김용균,이시영|엄기준|정현태|문가영|권해효,지윤 |이기철 |남학생1|조서현|조선기
103,브로큰,20122230,영국,판씨네마(주),청소년관람불가,드라마,루퍼스 노리스,킬리언 머피|팀 로스|엘로이스 로렌스,마이크|아치|스쿤크 
104,시크릿,20132321,미국,(주)미디어데이,청소년관람불가,드라마|스릴러,니콜라스 자렉키,리차드 기어|수잔 서랜든,
105,우리들의 헤어진 여자친구,20131692,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스|드라마,이광호,주영호|심호성|오연재|임은정,검은양복|일진여고생
106,렛 미 아웃,20125232,한국,㈜영화사 백두대간,12세이상관람가,드라마|코미디,김창래|소재영,권현상|박희본|정보람|조성민|조윤형|김남준|최진수|황상연|박종환|소민영|오다정,무영|미영|코디|엑스트라|로디|학생2|오프닝 좀비들|좀비4|엑스트라|오프닝 좀비들
107,셀러브리티 섹스테이프,20139921,미국,(주)스넵쏘울,청소년관람불가,코미디,스콧 휠러,잭 컬리슨|조나단 브렛|콜버트 알렘버트|하워드 카이,
108,관음 - 욕망의 유희,20131823,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스|드라마,이세일,강세미,
109,페인리스,20130443,스페인|프랑스|포르투갈,씨네그루(주)다우기술,청소년관람불가,드라마|공포(호러),후앙 카를로스 메디나,알렉스 브렌데뮬|토마스 레마르쿼즈|데렉 드 린트,베르카노
110,관상,20126091,한국,(주)쇼박스,15세이상관람가,사극|드라마,한재림,송강호|이정재|백윤식|조정석|이종석|김혜수|신기원|윤종구|윤희원|이도엽|권영각|김길동|정준식|조훈휘|표유신|하정수|한만영|노준표|문혜진|박진우|전신환|김강현|유재명|김의성|정대용,내경|수양대군|김종서|팽헌|내경 아들|연홍|안평대군|집의|승정원관리|김승규|등불내관|빡빡남|기사관|어린관리|문종호위무사|안내내관|수양호위무사|문지기내관|국상상궁2|진형진단의원|신숙주|용의자3|뇌물관리2|한명회|전의감서리
111,투 마더스,20130821,프랑스,(주)싸이더스,청소년관람불가,드라마,앤 폰테인,나오미 왓츠|로빈 라이트|자비에르 사무엘|제임스 프레체빌|벤 멘델슨,릴|로즈|이안|톰
112,프리버즈: 밍쿠와 찌아의 도시 대탈출,20131001,아르헨티나,(주)영화사 빅,전체관람가,애니메이션|어드벤처,다니엘 드 필립포|구스타보 지아니니,마리아노 마르티네즈|루이사나 로필라토|김민국|송지아,
113,킬링시즌,20131203,미국,(주)팝파트너스,청소년관람불가,액션|스릴러,마크 스티븐 존슨,로버트 드니로|존 트라볼타|마일로 벤티밀리아,벤자민 포드|에밀 코바쉬|크리스 포드
114,히든 카드,20131630,미국,이십세기폭스코리아(주),청소년관람불가,범죄|스릴러,브래드 퍼맨,저스틴 팀버레이크|벤 애플렉|젬마 아터튼,
115,폭스파이어,20138481,프랑스|캐나다,그린나래미디어(주),15세이상관람가,드라마,로랑 캉테,앨리 리버트|케이티 코시니|타마라 호프|레이븐 애덤스,뮤리엘|매디 |렉스
116,더 팩트,20131083,미국,스크린조이,15세이상관람가,공포(호러)|미스터리,니콜라스 맥카시,케이티 롯츠|캐스퍼 반 디엔|헤일리 허드슨,
117,건축학개론,20124074,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스|드라마,이용주,엄태웅|한가인|이제훈|배수지|고준희|조정석|박지은|신민영|신예진|유연석|조현철|박진우|김의성|이승호,현재 승민 |현재 서연 |과거 승민|과거 서연|납득이|넥탕매장점원|도아아키텍처직원|싱숭이|재욱|택시기사|강 교수|서연 부
118,레드: 더 레전드,20136962,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션|코미디|범죄,딘 패리소트,브루스 윌리스|존 말코비치|메리-루이스 파커|이병헌|캐서린 제타-존스|안소니 홉킨스|헬렌 미렌,프랭크 모세|마빈 보그스|사라 로즈|한|카자|베일리|빅토리아
