,movie_name,movie_code,director_name,director_code,nation,release_date,day1_screen,day1_audience,day8_date,day8_audience,director_sum
133, 일대종사,20139072,왕가위,10051499,중국,2013-08-22,190,8790,2013-08-29,71162,146362
134, 투 마더스,20130821,앤 폰테인,10045760,프랑스,2013-08-22,198,11201,2013-08-29,61872,2327806
135, 폭스파이어,20138481,로랑 캉테,10016116,프랑스,2013-08-22,29,405,2013-08-29,6331,2327806
136, R.I.P.D. : 알.아이.피.디.,20138421,로베르트 슈벤트케,10016782,미국,2013-08-22,260,13515,2013-08-29,98705,68027
137, 무사 4대 문파와의 혈투,20131923,서호봉,20178140,홍콩,2013-08-23,1,195,2013-08-30,1560,0
138, 팬더와 친구들의 모험,19738014,다카하타 이사오,10009949,일본,2013-08-24,1,14,2013-08-31,36,1
139, 관음 - 욕망의 유희,20131823,이세일,10056085,한국,2013-08-29,1,10,2013-09-05,120,1033287
140, 드래곤볼Z : 신들의 전쟁,20131681,호소다 마사히로,20178122,일본,2013-08-29,209,4821,2013-09-05,38455,0
141, 북극의 후예 이누크,20132022,마이크 매깃슨,20178221,기타,2013-08-29,3,12,2013-09-05,190,0
142, 불량경찰: 부정부패 소탕작전,20132164,산티아고 세구라,10034744,스페인,2013-08-29,1,192,2013-09-05,1365,36766
143, 가을 소나타,20070396,잉마르 베리만,10059012,스웨덴,2012-03-22,1,44,2012-03-29,689,81090
144, 건축학개론,20124074,이용주,10056822,한국,2012-03-22,549,66580,2012-03-29,1038262,3033
145, 달팽이의 별,20100752,이승준,10056267,한국,2012-03-22,33,699,2012-03-29,7072,0
146, 밀레니엄 : 제2부 불을 가지고 노는 소녀,20124906,다니엘 알프레드슨,10009399,스웨덴,2012-03-22,5,56,2012-03-29,1168,2177
147, 스페이스 독,20124939,이나 예블라니코바|스비야토슬라브 우샤코프 ,10048638|20127323,러시아,2012-03-22,56,232,2012-03-29,24659,0
148, 언터처블: 1%의 우정,20124142,올리비에르 나카체|에릭 토레다노,20126649|20126650,프랑스,2012-03-22,311,46216,2012-03-29,624606,275575
149, 콘트라밴드,20124873,발타자르 코루마쿠르,10029772,미국,2012-03-22,173,6742,2012-03-29,49273,6067
150, 해로 (偕老),20111074,최종태,10072725,한국,2012-03-22,18,208,2012-03-29,2430,0
151, 삼총사2013,20132081,콜 S. 맥케이,10076547,미국,2013-08-29,3,260,2013-09-05,4220,0
152, 시크릿,20132321,니콜라스 자렉키,10008712,미국,2013-08-29,5,284,2013-09-05,1096,12208
153, 아티스트 봉만대,20131206,봉만대,10031639,한국,2013-08-29,131,1380,2013-09-05,13180,0
154, 엘리시움,20137811,닐 블롬캠프,10009038,미국,2013-08-29,459,132038,2013-09-05,931052,2405731
