,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience,actor
23, 버니,20138582,리차드 링클레이터,10020023,115978,미국,2013-06-20,2013-06-20,28,340,2013-07-03,7175,잭 블랙|매튜 매커너히|셜리 맥클레인
145, 드래곤볼Z : 신들의 전쟁,20131681,호소다 마사히로,20178122,0,일본,2013-08-29,2013-08-29,209,4821,2013-09-11,44066,김환진
95, 슈퍼히어로,20139821,에두와르도 슐츠,20169161,22095,페루,2013-07-31,2013-07-31,60,1329,2013-08-13,11469,하정우|이경영|전혜진|이다윗|이재관|이춘연|장성환|전려경|박수화|김홍파|김대명|최진호
89, 마지막 4중주,20139826,야론 질버만,10046440,0,미국,2013-07-25,2013-07-25,29,1672,2013-08-07,36381,필립 세이모어 호프만|크리스토퍼 월켄|캐서린 키너|마크 이바니르
51, 모니카와의 여름 ,20134481,잉마르 베리만,10059012,4015,스웨덴,2013-07-04,2013-07-04,1,22,2013-07-17,358,해리엇 안데르손|라스 에크보리
85, 킬링 타임,20119516,박성수 ,20111994,1,한국,2012-03-15,2012-03-15,1,31,2012-03-28,155,정애연|이지혜|김진근|김병춘
41, 엽문4: 종극일전,20139863,구예도,20072820,8059,홍콩,2013-06-27,2013-06-27,5,350,2013-07-10,2888,황추생|증지위
127, 월하의 침략자,20123624,마에다 켄지,10022524,0,일본,2013-08-15,2013-08-15,1,21,2013-08-28,78,권현상|박희본|정보람|조성민|조윤형|김남준|최진수|황상연|박종환|소민영|오다정
76, 테르마이 로마이,20139724,타케우치 히데키,20112234,58329,일본,2013-07-18,2013-07-18,7,136,2013-07-31,2850,아베 히로시|우에토 아야
45," 힘내세요, 병헌씨",20122123,이병헌,20125862,3044134,한국,2013-06-27,2013-06-27,16,175,2013-07-10,2706,홍완표|양현민|김영현|허준석|이재광|이창한|정현정|조휘상|강호규|강호규|김경진|김수완|황인국|김영천|노승보|박성민|박영석|심상혁|양동엽|이병헌
21, 마이 백 페이지,20113483,야마시타 노부히로,10046558,6504,일본,2012-03-15,2012-03-15,7,124,2012-03-28,2049,츠마부키 사토시|마츠야마 켄이치|이시바시 안나
77, 토니 스토리: 깡통제국의 비밀,20139141,토마스 보덴스타인,20172322,5451,독일,2013-07-18,2013-07-18,188,6502,2013-07-31,66439,정준하
48, 감시자들,20122783,조의석|김병서,10066810|10004276,2515506,한국,2013-07-03,2013-07-03,731,210052,2013-07-16,3785950,설경구|정우성|한효주|진경|이준호|임달화|손민석|김대진|이태형|강신하|이동휘|이화정|김진곤|박지훈|김지훈|신성일|변요한|정우근|장원형|장유리|조도연|지영준|한영주|문성렬|박영진|박지연|백동현|신경철|이가람|이상민|김병옥
47, 감시자들,20122783,조의석|김병서,10066810|10004276,2515506,한국,2013-07-03,2013-07-03,731,210052,2013-07-16,3785950,설경구|정우성|한효주|진경|이준호|임달화|손민석|김대진|이태형|강신하|이동휘|이화정|김진곤|박지훈|김지훈|신성일|변요한|정우근|장원형|장유리|조도연|지영준|한영주|문성렬|박영진|박지연|백동현|신경철|이가람|이상민|김병옥
53, 인 더 하우스,20139121,프랑소와 오종,10084405,9987,프랑스,2013-07-04,2013-07-04,25,767,2013-07-17,11726,파브리스 루치니|크리스틴 스콧 토마스|에른스트 움하우어|엠마누엘 자이그너
8, 밀레니엄 : 여자를 증오한 남자들,20110882,데이빗 핀처,10012198,606131,미국,2012-01-11,2012-01-11,195,11033,2012-01-24,384526,다니엘 크레이그|루니 마라
