,movie_name,nation,distribution,director_sum,actor_sum,rate_score,genre,first_genre,genre_sum,release_date,day1_screen,day1_audience,day15_date,day_score,day15_audience,rate,news7
128,링스,0.184566,0.05,0,657929,0.15883,161589,공포(호러),161589.8413,2017-04-06,103,1880,2017-04-20,42363.009000000005,16204,15세이상관람가,0
129,프란치스코,0.021345,0.05,2894,43497,0.22784000000000001,864919,드라마,864919.5959999999,2016-03-10,162,1448,2016-03-24,45839.64887,16340,12세이상관람가,0
130,연애담,0.267262,0.05,0,16853,0.01975,65662,멜로/로맨스,65662.0,2016-11-17,38,1092,2016-12-01,58217.87881,16504,청소년관람불가,26
131,"불량소녀, 너를 응원해!",0.010716,0.05,114995,112765,0.22784000000000001,864919,드라마,864919.5959999999,2016-09-21,128,1458,2016-10-05,70856.76511000001,16540,12세이상관람가,16
132,그 후,0.267262,0.05,70672,1084677,0.01975,864919,드라마,864919.5959999999,2017-07-06,156,2170,2017-07-20,83996.12402,16564,청소년관람불가,128
133,하늘이 보내준 딸,0.008427,0.05,0,0,0.07631,282698,가족,282698.1587,2012-04-19,97,1425,2012-05-03,45278.4503,16578,전체관람가,0
134,60만번의 트라이,0.267262,0.05,0,6731802,0.22784000000000001,71396,다큐멘터리,71396.38793,2014-09-18,76,2172,2014-10-02,66679.47915,16601,12세이상관람가,23
135,종이 달,0.010716,0.05,1039,38847,0.01975,864919,드라마,864919.5959999999,2015-07-23,31,1044,2015-08-06,97843.50609,16673,청소년관람불가,31
136,꿈의 제인,0.267262,0.312821,0,9820,0.01975,864919,드라마,864919.5959999999,2017-05-31,76,1800,2017-06-14,69613.76009,16722,청소년관람불가,49
137,마돈나,0.267262,0.05,7422,1410546,0.01975,864919,드라마,864919.5959999999,2015-07-02,64,1596,2015-07-16,83996.12402,17086,청소년관람불가,125
138,위험한 패밀리,0.184566,0.05,249752,705280,0.01975,564807,코미디,1319835.6670000001,2014-01-22,109,1310,2014-02-05,98467.19578,17089,청소년관람불가,30
139,플레이스 비욘드 더 파인즈,0.184566,0.05,48885,1105165,0.01975,864919,범죄,1429727.0580000002,2013-08-01,30,756,2013-08-15,125501.8383,17131,청소년관람불가,19
140,이별계약,0.267262,0.809701,820307,75495,0.22784000000000001,864919,멜로/로맨스,930581.5959999999,2013-06-20,60,1705,2013-07-04,64743.59295,17140,12세이상관람가,593
141,트립 투 이탈리아,0.021345,0.05,12399,520017,0.15883,864919,코미디,1195616.797,2015-06-04,47,1416,2015-06-18,60570.8087,17158,15세이상관람가,27
142,유아 낫 유,0.184566,0.05,0,2037599,0.15883,864919,드라마,864919.5959999999,2015-01-21,89,1240,2015-02-04,76682.22564,17168,15세이상관람가,0
143,어떤살인,0.267262,0.05,0,1982391,0.01975,424331,스릴러,424331.00399999996,2015-10-28,169,2487,2015-11-11,56901.959070000004,17190,청소년관람불가,398
144,댄서,0.021345,0.05,0,0,0.15883,71396,다큐멘터리,71396.38793,2017-04-13,43,902,2017-04-27,43426.69885,17202,15세이상관람가,15
145,혼스,0.184566,0.05,178803,2214220,0.01975,470320,판타지,894651.3531,2014-11-27,160,2798,2014-12-11,70538.38762000001,17317,청소년관람불가,0
146,한여름의 판타지아,0.267262,0.05,2223,90711,0.07631,864919,드라마,864919.5959999999,2015-06-11,46,1572,2015-06-25,62091.676920000005,17352,전체관람가,46
147,족구왕,0.267262,0.05,0,1117200,0.15883,864919,코미디,1261278.797,2014-08-21,56,1233,2014-09-04,107052.9098,17455,15세이상관람가,34
148,립반윙클의 신부,0.010716,0.05,131669,11646,0.15883,864919,드라마,930581.5959999999,2016-09-28,63,1186,2016-10-12,66299.81143,17681,15세이상관람가,26
149,마릴린 먼로와 함께한 일주일,0.021345,0.05,144154,1101933,0.15883,864919,드라마,864919.5959999999,2012-02-29,76,1485,2012-03-14,51943.4822,17788,15세이상관람가,15
150,시작은 키스!,0.021345,0.05,0,344817,0.22784000000000001,330697,코미디,396359.2008,2012-06-14,29,935,2012-06-28,60570.8087,17875,12세이상관람가,0
151,이브 생 로랑,0.021345,0.05,0,188606,0.01975,864919,드라마,864919.5959999999,2014-06-26,51,1418,2014-07-10,74894.29195,17901,청소년관람불가,11
