,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
629,섹스 콜렉터 2,일본,롯데쇼핑㈜롯데엔터테인먼트,9,0,12세이상관람가,코미디|멜로/로맨스,2012-04-14,1,75,2012-04-27,0
630,다이노소어 어드벤처 3D,미국,(주)팝엔터테인먼트,501907,2561050,청소년관람불가,멜로/로맨스|드라마|코미디,2013-12-19,294,11259,2014-01-01,534956
631,O의 정사2,일본,(유)조이앤컨텐츠그룹,5,0,청소년관람불가,멜로/로맨스,2012-04-13,1,75,2012-04-26,0
632,다락방의 토이 스토리,체코,(주)월드시네마,0,0,청소년관람불가,드라마,2013-12-19,1,10,2014-01-01,0
633,비버,미국,이십세기폭스코리아(주),24481,1982182,전체관람가,액션|가족,2012-04-12,26,537,2012-04-25,4157
634,꼬마마녀 요요와 네네,일본,(유)조이앤컨텐츠그룹,0,258239,청소년관람불가,성인물(에로)|멜로/로맨스|드라마,2013-12-25,90,8061,2014-01-07,22547
635,화이트 스완,미국,(주)나이너스엔터테인먼트,0,0,12세이상관람가,코미디|드라마,2013-12-19,5,70,2014-01-01,740
636,오르가즘,스페인,㈜T-JOY|씨너스엔터테인먼트(주),0,0,전체관람가,애니메이션,2013-12-19,5,657,2014-01-01,0
637,썬더와 마법저택,벨기에,포커스 온,606697,3539540,15세이상관람가,액션|스릴러|범죄,2013-12-24,312,18726,2014-01-06,772604
638,맛있는 섹스 그리고 환상의 여인,일본,(주)소나무픽쳐스,25,0,청소년관람불가,다큐멘터리,2013-12-19,1,120,2014-01-01,0
639,백은제국,중국,씨제이이앤엠(주),0,19484,전체관람가|전체관람가,애니메이션|어드벤처|가족,2013-12-24,5,210,2014-01-06,4250
640,세이빙 산타,영국,(주)케이알씨지,0,3412670,15세이상관람가,액션,2013-12-19,232,10624,2014-01-01,225016
641,하이힐을 신은 여자는 위험하다,미국,(주)영화사폴,0,44961,청소년관람불가,드라마|멜로/로맨스|성인물(에로),2013-12-25,1,8,2014-01-07,298
642,밤의 여인 1%의 섹스,일본,스크린조이,0,0,15세이상관람가,액션|드라마,2013-12-26,1,123,2014-01-08,0
