,movieNm,movie_code,nations,distribution,rate,genre,director,actor,cast
63,맨 온 렛지,20124420,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,범죄|스릴러,애스게르 레스,샘 워싱턴|엘리자베스 뱅크스,닉 캐시디 |리디아 앤더슨 
64,언더월드 4: 어웨이크닝,20124746,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,액션|판타지|SF|공포(호러),만스 말린드|비욘 스테인,케이트 베킨세일|테오 제임스|인디아 아이슬리|마이클 엘리,
65,나루토 질풍전 극장판: 블러드 프리즌,20124204,일본,씨너스엔터테인먼트(주),12세이상관람가,애니메이션|어드벤처,무라타 마사히코,타케우치 준코,
66,닌자보이 란타로 극장판 : 시끌벅적 방학숙제 대소동,20124166,일본,팝엔터테인먼트,전체관람가,애니메이션|액션|코미디,후지모리 마사야,타카야마 미나미,
67,더 데이,20124808,한국,롯데쇼핑㈜롯데시네마,전체관람가,다큐멘터리,백창주,김재중|박유천|김준수,
68,볼츠와 블립,20119424,한국,씨제이이앤엠(주),전체관람가,애니메이션|코미디|어드벤처,피터 레페니오티스,김일|최정호,블립 목소리 |볼츠 목소리
69,빅 미라클,20124011,미국,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,드라마|멜로/로맨스,켄 콰피스,드류 베리모어|크리스틴 벨,
70,움,20124167,독일|헝가리|프랑스,(주)씨타마운틴픽쳐스,청소년관람불가,드라마,베네덱 플리고프,에바 그린|맷 스미스,레베카 |토마스 
71,천사의 숨소리,20110894,한국,롤러코스터,12세이상관람가,드라마,한지원,문대성|김영선|한지원|김선국|이환기|정현구|하광민|이승연|송원용|오세진,근로자 2|재민|도사|단편영화감독|광민|노숙자 형만|근로자1|고등학생2
72,철의 여인,20113912,영국,필라멘트픽쳐스,12세이상관람가,드라마,필리다 로이드,메릴 스트립|짐 브로드벤트,
73,토리노의 말,20124427,헝가리|프랑스|독일|스위스|미국,(재)전주국제영화제조직위원회,15세이상관람가,드라마,벨라 타르,에리카 보크|야노스 데르즈시,
74,돈 지오반니,20124361,미국,(주)인스터피씨엠,전체관람가,공연,마이클 그랑디지,에리카 보크|야노스 데르즈시,
75,돌아온 파워레인저 미라클포스,20124738,일본,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,액션|드라마,나가이시 다카오,치바 유다이|사토 리카|오노 켄토|하마오 쿄스케|니와 미키호,미라클 레드 미르 |미라클 핑트 에리 |미라클 블루 하이드 |미라클 블랙 케인 |미라클 엘로우 모네 
76,디스 민즈 워,20124096,미국,이십세기폭스코리아(주),15세이상관람가,액션|코미디|멜로/로맨스,맥지,리즈 위더스푼|크리스 파인|톰 하디,
77,러브픽션,20113916,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,멜로/로맨스|코미디,전계수,하정우|공효진|이병준|지진희|유인나|최유화|전수지|장동찬|정동철|최재용|최준용|이원함|박재한|이규원|이규희|김재화|차은재|아용주|박준면|조희봉|박영수,주월/마형사|희진/혜영|M|주로|미술선생님|희진아버지|지하철덩치1|공차는 꼬마들|공차는 꼬마들|미정|중고차판매원|버스취객|꽃집아가씨|주희|미장원 누나|시삽|백선영|곽 대표/곽 반장|영식/조사장
78,마릴린 먼로와 함께한 일주일,20124186,영국|미국,(주)싸이더스,15세이상관람가,드라마,사이먼 커티스,미쉘 윌리엄스|에디 레드메인,
79,만화방,20113322,한국,(주)영진크리에이티브,청소년관람불가,코미디|성인물(에로),허재형,이은미|장상진|임현미|허경진,미자|선비1
80,밀림의 왕자 레오: 세상을 바꾸는 용기,20124552,일본,(주)박수엔터테인먼트|에이원엔터테인먼트,전체관람가,애니메이션,타니구치 고로,윤미나,레오 (한국어 목소리)
81,비스트 앵콜 콘서트  3D,20124872,한국,(주)에스비에스콘텐츠허브,전체관람가,공연,손석,윤미나,레오 (한국어 목소리)
82,세이프 하우스,20124449,미국|남아프리카공화국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션|스릴러,다니엘 에스피노사,덴젤 워싱턴|라이언 레놀즈,
83,액트 오브 밸러: 최정예 특수부대,20124609,미국,씨너스엔터테인먼트(주),15세이상관람가,액션|어드벤처|스릴러,마이크 맥코이|스캇 워프,로셀린 산체즈|네스토르 세라노,
84,휴고,20124551,미국,씨제이이앤엠(주),전체관람가|전체관람가,가족,마틴 스콜세지,아사 버터필드|클로이 모레츠,휴고 카브렛 |이자벨 
85,"열여덟, 열아홉",20124381,한국,(주)키노아이디엠씨,15세이상관람가,멜로/로맨스,배광수,유연석|백진희|정헌|엄현경|이혜란|장남일|권미경|최희대|이보영|이성민|이수현|김창아|박호진|신성일|신정훈|이영진,간호사3|일강세컨드|간호사2|총각선생|서야반여학생5|산부인과의사|서야반여학생12|교무실선생1|복싱부2|복싱부1|일강세컨보조1|기주
86,줄탁동시,20110985,한국,㈜인디스토리,청소년관람불가,드라마,김경묵,이바울|염현준|김새벽|임형국|정건영|서민경|정건영|최장원,준|현|순희|성훈|옥수동 추격남|전단지아주머니|옥수동추격남|영어교사
87,가시,20112690,한국,씨제이이앤엠(주),15세이상관람가,드라마,김중현,엄태구|박세진|길해연|임학순|국경남|허서형|황동미|김영민|이재호|박창민,윤호|서희|희수|재식|진술실 경찰|식당경찰|빚쟁이들(목소리)|인부|동네주민(목소리)|의경
88,로맨스 조,20112841,한국,씨네21아이(주),15세이상관람가,드라마|코미디,이광국,김영필|신동미|이채은|이다윗|이승호|이예나|박혜진|방영배|유금정|서영화|조덕제,로맨스 조|다방 레지|초희|어린 로맨스 조|영화과 학생들|영화과 학생들|로맨스조 어머니|학생2|영화과 학생들|초희 어머니|초희 아버지
89,말하는 건축가,20112808,한국,(주)두타연|(주)미디어데이,전체관람가,다큐멘터리,정재은,정기용|승효상|유걸,
90,밀월도 가는 길,20112018,한국,씨제이이앤엠(주),청소년관람불가,드라마|미스터리|판타지,양정호,문정웅|신재승|김태윤|장문규|최진호,동조|어린 기정/주노|종혁|양복사내|분식점학생
91,스탠리의 도시락,20124726,인도,타임스토리그룹(주),전체관람가,드라마|코미디,아몰 굽트,파토르 A. 굽트,
92,은실이,20112861,한국,씨제이이앤엠(주),청소년관람불가,애니메이션,김선아|박세희,곽지훈,이씨 아저씨
93,존 카터: 바숨 전쟁의 서막,20124629,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가|12세이상관람가,SF|액션,앤드류 스탠튼,테일러 키취|린 콜린스|윌렘 데포|사만다 모튼,
94,태어나서 미안해,20112071,한국,씨제이이앤엠(주),15세이상관람가,코미디|드라마,최영석,임준식|임채선|김상호|차상민|방영배|심상재,주안|요다|덕정|노래방 사장|조개구이집사장|노래방 알바
95,화차,20124050,한국,필라멘트픽쳐스,15세이상관람가,미스터리,변영주,이선균|김민희|조성하|송하윤|차수연|임남숙|임순옥|장대윤|황남희|박지은|박지혜|송성원|오기민|최덕문|이희준|진선규|최일화,문호 |선영|종근 |한나 |시체보관소직원|입석리주민3|제천지구대장|여앵커|이현숙|여형사|카센터정비사|저수지낚시꾼|하성식|노승주|사무장|문호 부
96,서약,20124874,미국|프랑스|브라질,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,드라마|멜로/로맨스,마이클 수치,레이첼 맥아담스|채닝 테이텀,페이지 |레오 
97,가비,20111774,한국,(주)시네마서비스,15세이상관람가,드라마|멜로/로맨스|미스터리,장윤현,주진모|김소연|박희순|유선|손호승|채현우|홍준표|오동현|조승연|조덕현|조덕제|엄효섭,일리치|따냐|고종|사다코|김홍륙|조선사신단통역관|밀고남|조선무기상|민영환|석주|첩자의전관|단이 아버지
98,마이 백 페이지,20113483,일본,팝엔터테인먼트|(주)영화사조아,15세이상관람가,드라마,야마시타 노부히로,츠마부키 사토시|마츠야마 켄이치|이시바시 안나,
99,야색야동,20125336,한국,(주)케이알씨지,청소년관람불가,성인물(에로)|드라마,이세일,용복,
100,용문비갑,20124944,중국|홍콩,(주)누리픽쳐스,15세이상관람가,액션,서극,이연걸|주신|천쿤,
101,저스티스,20124932,미국,(주)쇼박스,청소년관람불가,액션|드라마|스릴러,로저 도널드슨,니콜라스 케이지|가이 피어스|재뉴어리 존스,
102,청춘그루브,20116038,한국,(주)두타연|(주)미디어데이,15세이상관람가,드라마,변성현,봉태규|이영훈|곽지민|이재원|임효라|장민철|구본웅|조민식|한경탁|홍희연|이연수|이영민|박종근|변성현|신근철|라미란|이영란,명동인터뷰 여자3|의사2|구사장|창대회사 직원|레스토랑 사장|간호사2|명동인터뷰 여자2명동인터뷰 여자2|호준|믹싱기사|춥스|명동인터뷰 커플1|케이블PD|창대 엄마
103,크로니클,20124666,미국,이십세기폭스코리아(주),15세이상관람가,액션|스릴러,조쉬 트랭크,데인 드한|알렉스 러셀|마이클 B. 조던|애슐리 힌쇼,앤드류 디트머 |맷 게레티 |스티브 몽고메리 |케이시 레터 
104,킬링 타임,20119516,한국,(주)데이드림서울,청소년관람불가,공포(호러),박성수,정애연|이지혜|김진근|김병춘,혜림|수진|병헌
