,movie_name,director_average
89, 밀월도 가는 길,0
90, 스탠리의 도시락 ,23406
91, 은실이,0
92, 존 카터: 바숨 전쟁의 서막 ,1736325
93, 태어나서 미안해,0
94, 화차,54291
95, 서약,0
96, 가비,1885540
97, 마이 백 페이지,6504
98, 야색야동,466
99, 용문비갑,101444
100, 저스티스,200004
101, 청춘그루브,1384738
102, 크로니클,399667
103, 킬링 타임,1
104, 핑크,2113
105, 홈 스위트 홈,302199
106, 단지부인 오후의 불륜,31
107, 목마른 그녀의 금단의 사랑,0
108, 몰래 보고 싶은 여인,0
109, 백의의 유부녀-굶주린 형수님,2
110, 빨간 욕정-꿈의 정사,2
111, 가을 소나타,3807
112, 건축학개론,251314
113, 달팽이의 별,777
114, 밀레니엄 : 제2부 불을 가지고 노는 소녀,2457
115, 스페이스 독,0
116, 양자탄비 ,32842
117, 언터처블: 1%의 우정,40321
118, 콘트라밴드,169993
119, 해로 (偕老),510604
120, 교수와 여제자2,1566
121, 그녀가 떠날 때,0
122, 데드 앤 곤,0
123, 디어 한나,0
124, 세이지: 육지의 물고기,0
125, 시체가 돌아왔다,0
126, 전쟁 주식회사,0
127, 타이탄의 분노,453895
128," 혜원아, 사랑해",5586
129, 지크프리트,0
130, 밀레니엄 : 제3부 벌집을 발로 찬 소녀,2988
131, 별이 빛나는 밤,0
132, 어머니,1694
133, 온 투어,1890
134, 철권: 블러드 벤전스,0
135, 코난: 암흑의 시대,223975
136, 헝거게임: 판엠의 불꽃,13743
137, 간기남,1144238
138, 배틀쉽,507704
139, 인류멸망 보고서,2413489
140, 비버,24481
141, 열두살 샘,0
142, 이민자,1275820
143, 천국의 전쟁,0
144, O의 정사2,5
145, 섹스 콜렉터 2,9
146," 실종, 어느날납치된소녀",81
147," 실종, 완벽한 사육",9
148, 더 박스,477
149, 듀엣,330
150, 로봇,0
151, 리그렛,10935
152, 멋진 악몽,76985
153, 시간의 숲,163485
154," 아내, 애인 그리고 맛있는 섹스",0
155, 애딕티드,0
156, 점프 아쉰,2139
157, 크레이지 호스,5927
158, 킹메이커,77420
159, 픽쳐 미 : 모델 다이어리,0
160, 하늘이 보내준 딸,0
161, 하트 브레이커,30
162, 에로틱 사이렌,0
163, 음란한 게이샤의 정사,0
164," 불륜, 와이프의 여동생",27
165, 은교,285179
166, 타이타닉 2,1
167, 너무 밝히는 소녀 알마,0
168, 레드마리아,657
169," 봄, 눈",32256
170, 아르마딜로,0
171, 아버지는 개다,611
172, 어벤져스,1266
173, 짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,217320
174, 트로피컬 마닐라,616
175, 파리의 도둑고양이,0
176, 48시간의 일탈,880
177, 딱따구리와 비,1895
178, 로렉스,2975234
179, 몬스터,0
180, 백설공주,405841
181, 아버지를 위한 노래,64908
182, 오즈의 마법사,309909
183, 잠자는 숲속의 미녀,8077
184, 장화신은 고양이 디 오리지널,0
185, 저스트 프렌즈,4980
186, 코리아,1382809
187, 블라인드 리벤지,11115
188, 오피스 걸의 불륜,27
189, 과외수업-폭행,5523
190, 더럽혀진마리아,5523
191, 사티아그라하,0
192, 다크 섀도우,672094
193, 단델리온 더스트,88911
194, 데인저러스 메소드,40113
195, 두레소리,1210852
196, 디바이드,170240
197, 믹막: 티르라리고 사람들,187626
198, 버니드롭,11199
199, 야곱 신부의 편지,0
200, 이방인들,579
201, 제7의 봉인,3563
202, 컬러풀,36274
203, 내 아내의 모든 것,693943
204, 돈의 맛,840287
205, 레이드 : 첫번째 습격,2686
206, 멜랑콜리아,34099
207, 미래는 고양이처럼,0
208, 에로티봇,10
209, 위험한 정사,0
210, 콜드 라잇 오브 데이,0
211, 퍼스트 그레이더,700095
212, 프란체스코와 교황,0
213, 머펫 대소동,513202
214, S 중독,75
215, 그리움의 종착역,0
216, 극장판 썬더일레븐GO : 궁극의 우정 그리폰,79927
217, 맨 인 블랙 3,263053
218, 머신건 프리처,1295046
219," 안녕, 하세요!",1143136
220, 여비서,44
221, 천국의 아이들,379343
222, 할머니는 일학년,62093
223, U.F.O.,684
224, 로델린다,0
225, 미확인 동영상 : 절대클릭금지,644884
226, 셋 업,0
227, 스노우 화이트 앤 더 헌츠맨,764072
228, 차형사,1832727
229, 다른나라에서,70044
230, 블루 발렌타인,52205
231, 엄마에게,0
232, 파이판,0
233, 마다가스카3 : 이번엔 서커스다!,1986409
234, 프로메테우스,774358
235, 후궁 : 제왕의 첩,877336
236, 슈퍼스타,411513
237, 금의위 : 14 검의 비밀,162670
