,movie_name,movie_code,director_name,director_code,release_date,nation
130, 밀레니엄 : 제3부 벌집을 발로 찬 소녀,20124907,다니엘 알프레드슨,10009399,2012-04-05,스웨덴
131, 별이 빛나는 밤,20113723,수유 린,10037555,2012-04-05,대만
132, 어머니,20112465,태준식,10079546,2012-04-05,한국
133, 온 투어,20113484,마티유 아말릭,10024645,2012-04-05,프랑스
134, 철권: 블러드 벤전스,20125388,모우리 요이치,20127605,2012-04-05,일본
135, 코난: 암흑의 시대,20125106,마커스 니스펠,10023966,2012-04-05,미국
136, 헝거게임: 판엠의 불꽃,20124127,게리 로스,10001139,2012-04-05,미국
137, 간기남,20124032,김형준,10006353,2012-04-11,한국
138, 배틀쉽,20112134,피터 버그,10085782,2012-04-11,미국
139, 인류멸망 보고서,20068590,김지운,10005852,2012-04-11,한국
140, 비버,20112884,조디 포스터,10065670,2012-04-12,미국
141, 열두살 샘,20125026,구스타보 론,20128109,2012-04-12,스페인
142, 이민자,20124942,크리스 웨이츠,10077177,2012-04-12,미국
143, 천국의 전쟁,20048736,카를로스 레이가다스,10073527,2012-04-12,멕시코
144, O의 정사2,20125931,카타오카 슈지,20115338,2012-04-13,일본
145, 섹스 콜렉터 2,20125932,에노모토 토시로,10047425,2012-04-14,일본
146," 실종, 어느날납치된소녀",20125968,조조 히데오 / 죠죠 히데오,10066963,2012-04-16,일본
147," 실종, 완벽한 사육",20125933,후지와라 켄이치,10090660,2012-04-17,일본
148, 더 박스,20098164,리처드 켈리,10020265,2012-04-19,미국
149, 듀엣,20125526,이상빈,10055857,2012-04-19,한국
150, 로봇,20111825,S. 샹카르,20127569,2012-04-19,인도
151, 리그렛,20125335,세드릭 칸,10035925,2012-04-19,프랑스
152, 멋진 악몽,20125286,미타니 코키,10027705,2012-04-19,일본
153, 시간의 숲,20125746,송일곤,10037178,2012-04-19,한국
154," 아내, 애인 그리고 맛있는 섹스",20125808,구아타보 니에토 로아,10002206,2012-04-19,콜롬비아
155, 애딕티드,20125966,호르모즈,20128529,2012-04-19,프랑스
156, 점프 아쉰,20125207,린 유쉰,10020832,2012-04-19,대만
157, 크레이지 호스,20125046,프레데릭 와이즈만,10085041,2012-04-19,미국
158, 킹메이커,20125126,조지 클루니,10067224,2012-04-19,미국
159, 픽쳐 미 : 모델 다이어리,20125726,올레 쉘|사라 지프,20127989|20127990,2012-04-19,미국
160, 하늘이 보내준 딸,20125307,비자이,20127812,2012-04-19,인도
161, 하트 브레이커,20113201,파스칼 쇼메유,20128253,2012-04-19,프랑스
162, 에로틱 사이렌,20125935,오카모토 후토시,20166437,2012-04-20,일본
163, 음란한 게이샤의 정사,20125936,아라키 겐지,20166442,2012-04-21,일본
164," 불륜, 와이프의 여동생",20125934,타지리 유지,10079308,2012-04-23,일본
165, 은교,20124066,정지우,10062256,2012-04-25,한국
166, 타이타닉 2,20126142,쉐인 반 다이크,20128534,2012-04-25,미국
167, 너무 밝히는 소녀 알마,20111826,야니케 시스타드 야콥슨,20128069,2012-04-26,노르웨이
168, 레드마리아,20100551,경순,10054749,2012-04-26,한국
169," 봄, 눈",20113556,김태균,10006086,2012-04-26,한국
170, 아르마딜로,20112482,야누스 메츠 패더슨,20128310,2012-04-26,덴마크
171, 아버지는 개다,20119433,이상우,20111446,2012-04-26,한국
172, 어벤져스,20124721,조스 웨던,10066368,2012-04-26,미국
173, 짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,20125427,마스이 소이치,20127649,2012-04-26,일본
174, 트로피컬 마닐라,20081510,이상우,20111446,2012-04-26,한국
175, 파리의 도둑고양이,20125066,장-루프 펠리시올리|알랭 가뇰,20114602|20127389,2012-04-26,프랑스
176, 48시간의 일탈,20126143,이숭환,10056203,2012-04-28,한국
177, 딱따구리와 비,20125912,오키타 슈이치,10050897,2012-05-03,일본
178, 로렉스,20113889,크리스 리노드|카일 발다,20112359|20127335,2012-05-03,미국
179, 몬스터,20126146,에릭 이스튼버그,20128531,2012-05-03,미국
180, 백설공주,20125426,타셈 싱,10079201,2012-05-03,미국
181, 아버지를 위한 노래,20098183,파올로 소렌티노,10082236,2012-05-03,이탈리아
182, 오즈의 마법사,19398001,빅터 플레밍,10033202,2012-05-03,미국
183, 잠자는 숲속의 미녀,20112059,카트린느 브레이야,10006599,2012-05-03,프랑스
184, 장화신은 고양이 디 오리지널,20125915,제롬 데스챔프|파스칼 헤롤드|마차 마케이에프,10063039|20128409|20128410,2012-05-03,프랑스
185, 저스트 프렌즈,20125886,안철호,20111272,2012-05-03,한국
186, 코리아,20124045,문현성,20125803,2012-05-03,한국
187, 블라인드 리벤지,20125810,라울 루이즈,10013939,2012-05-04,영국
188, 오피스 걸의 불륜,20126145,타지리 유지,10079308,2012-05-04,일본
189, 과외수업-폭행,20126468,제제 다카히사,10064512,2012-05-09,일본
190, 더럽혀진마리아,20126467,제제 다카히사,10064512,2012-05-09,일본
191, 사티아그라하,20124363,팰림 맥더모트,20166321,2012-05-09,미국
192, 다크 섀도우,20125866,팀 버튼,10081788,2012-05-10,미국
193, 단델리온 더스트,20125267,존 건,10067516,2012-05-10,미국
194, 데인저러스 메소드,20125649,데이빗 크로넨버그,10012121,2012-05-10,영국
195, 두레소리,20111416,조정래,10066934,2012-05-10,한국
196, 디바이드,20124867,자비에 장,10059238,2012-05-10,미국
197, 믹막: 티르라리고 사람들,20125268,장 피에르 주네,10059987,2012-05-10,프랑스
198, 버니드롭,20126027,사부,10009223,2012-05-10,일본
199, 야곱 신부의 편지,20125766,클라우스 해로,10078229,2012-05-10,핀란드
200, 이방인들,20112019,최용석,10072512,2012-05-10,한국
201, 제7의 봉인,20070400,잉마르 베리만,10059012,2012-05-10,스웨덴
202, 컬러풀,20001428,하라 케이이치,10086748,2012-05-10,일본
203, 내 아내의 모든 것,20113554,민규동,10027774,2012-05-17,한국
204, 돈의 맛,20124064,임상수,10058591,2012-05-17,한국
205, 레이드 : 첫번째 습격,20125467,가렛 에반스,20128289,2012-05-17,인도네시아
206, 멜랑콜리아,20125967,라스 폰 트리에,10013894,2012-05-17,덴마크
207, 미래는 고양이처럼,20113482,미란다 줄리,10027001,2012-05-17,미국
208, 에로티봇,20126594,토모마치 나오유키,10080621,2012-05-17,일본
209, 위험한 정사,20126592,카를레스 토라스,20165880,2012-05-17,스페인
210, 콜드 라잇 오브 데이,20125907,마브룩 엘 메크리,10022287,2012-05-17,미국
211, 퍼스트 그레이더,20124719,저스틴 채드윅,10061166,2012-05-17,영국
212, 프란체스코와 교황,20125209,치로 카펠라리,20127489,2012-05-17,독일
