,movie_name,movie_code,director_name,director_code,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
70, 천사의 숨소리,20110894,한지원,10087755,한국,2012-02-23,2012-02-23,4,120,2012-03-07,1675
71, 철의 여인,20113912,필리다 로이드 ,10086341,영국,2012-02-23,2012-02-23,149,8690,2012-03-07,121117
72, 토리노의 말,20124427,벨라 타르,10031292,헝가리,2012-02-23,2012-02-23,1,78,2012-03-07,996
73, 돈 지오반니,20124361,마이클 그랑디지,20166301,미국,2012-02-29,2012-02-29,1,37,2012-03-13,349
74, 돌아온 파워레인저 미라클포스,20124738,나가이시 다카오,10006683,일본,2012-02-29,2012-02-29,192,7961,2012-03-13,54059
75, 디스 민즈 워,20124096,맥지,10025471,미국,2012-02-29,2012-02-29,307,35337,2012-03-13,623534
76, 러브픽션,20113916,전계수,10061220,한국,2012-02-29,2012-02-29,483,165606,2012-03-13,1538269
77, 마릴린 먼로와 함께한 일주일,20124186,사이먼 커티스,10034374,영국,2012-02-29,2012-02-29,76,1485,2012-03-13,17537
78, 만화방,20113322,허재형,10088433,한국,2012-02-29,2012-02-29,0,0,2012-03-13,0
79, 밀림의 왕자 레오: 세상을 바꾸는 용기,20124552,타니구치 고로,10079027,일본,2012-02-29,2012-02-29,42,1846,2012-03-13,18554
80, 비스트 앵콜 콘서트  3D,20124872,손석,20111906,한국,2012-02-29,2012-02-29,74,6656,2012-03-13,0
81, 세이프 하우스,20124449,다니엘 에스피노사,20126431,미국,2012-02-29,2012-02-29,267,13945,2012-03-13,161489
82, 액트 오브 밸러: 최정예 특수부대 ,20124609,마이크 맥코이|스캇 워프,20126695|20126696,미국,2012-02-29,2012-02-29,216,14145,2012-03-13,134741
83, 휴고,20124551,마틴 스콜세지,10024735,미국,2012-02-29,2012-02-29,70,5558,2012-03-13,58552
84," 열여덟, 열아홉",20124381,배광수,20126213,한국,2012-03-01,2012-03-01,16,267,2012-03-14,1444
85, 줄탁동시,20110985,김경묵,10003537,한국,2012-03-01,2012-03-01,16,245,2012-03-14,2531
86, 가시,20112690,김중현,10005808,한국,2012-03-08,2012-03-08,1,13,2012-03-21,276
87, 로맨스 조,20112841,이광국,10054828,한국,2012-03-08,2012-03-08,19,144,2012-03-21,2557
88, 말하는 건축가,20112808,정재은,10062188,한국,2012-03-08,2012-03-08,19,505,2012-03-21,12425
